rank,requested,taxonomy_status,scientific,model_scientific,model_common,key,note,asset_status,plate,historical_title,match_basis,source_page,institution_record,license_status,crop_status,source_local,source_download,source_sha256,artwork_status,shipped_source_page
27,Turkey Vulture,exact common name,Cathartes aura,Cathartes aura,Turkey Vulture,cathartes-aura,,source downloaded - NOT a finished asset,151,Turkey Buzzard,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/turkey-buzzard,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0151,unverified - check exact scan,not reviewed,sources/151.jpg,https://media.audubon.org/boa_illustration/plate-151-turkey-buzzard.jpg,683f691d37c1a702c11900527159a22765d6005993f98220b79d042f70c4fbd5,present,https://commons.wikimedia.org/wiki/File:151_Turkey_Buzzard.jpg
28,Red-tailed Hawk,exact common name,Buteo jamaicensis,Buteo jamaicensis,Red-tailed Hawk,buteo-jamaicensis,,source downloaded - NOT a finished asset,51,Red-tailed Hawk,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/red-tailed-hawk,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0051,unverified - check exact scan,not reviewed,sources/051.jpg,https://media.audubon.org/boa_illustration/plate-51-red-tailed-hawk.jpg,1b9cd658eef107d7568c94df0498ac86a85e933570fb3b0997c6c5df847303f9,present,https://commons.wikimedia.org/wiki/File:51_Red-tailed_Hawk.jpg
29,Red-shouldered Hawk,exact common name,Buteo lineatus,Buteo lineatus,Red-shouldered Hawk,buteo-lineatus,,source downloaded - NOT a finished asset,56,Red-shouldered Hawk,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/red-shouldered-hawk,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0056,unverified - check exact scan,not reviewed,sources/056.jpg,https://media.audubon.org/boa_illustration/plate-56-red-shouldered-hawk.jpg,bc85c7d65d3e07246303cf6265aece8fa1a1e1a8384efbdc17aa7bdbe2f6b639,present,https://media.audubon.org/boa_illustration/plate-56-red-shouldered-hawk.jpg
30,Cooper's Hawk,exact common name,Astur cooperii,Accipiter cooperii,Cooper's Hawk,astur-cooperii,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:36_Stanley_Hawk.jpg
31,Mississippi Kite,exact common name,Ictinia mississippiensis,Ictinia mississippiensis,Mississippi Kite,ictinia-mississippiensis,,source downloaded - NOT a finished asset,117,Mississippi Kite,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/mississippi-kite,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0117,unverified - check exact scan,not reviewed,sources/117.jpg,https://media.audubon.org/boa_illustration/plate-117-mississippi-kite.jpg,0aefcbed548b27d52201515f94bc525eea7da922e8e3c4c3ed28a8d3ac798886,present,https://commons.wikimedia.org/wiki/File:117_Mississippi_Kite.jpg
32,Swainson's Hawk,exact common name,Buteo swainsoni,Buteo swainsoni,Swainson's Hawk,buteo-swainsoni,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:372_Common_Buzzard.jpg
33,Crested Caracara,exact common name,Caracara plancus,Caracara plancus,Crested Caracara,caracara-plancus,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:J._Smit,_Polyborus_Tharus,_Var.,_NGA_53861.jpg"
34,American Kestrel,exact common name,Falco sparverius,Falco sparverius,American Kestrel,falco-sparverius,,source downloaded - NOT a finished asset,142,American Sparrow Hawk,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/american-sparrow-hawk,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0142,unverified - check exact scan,not reviewed,sources/142.jpg,https://media.audubon.org/boa_illustration/plate-142-american-sparrow-hawk.jpg,7ad86e34027f42bb2b9ca0da0c8cf46fba88476c9b2602624853f46fe68ecf26,present,https://commons.wikimedia.org/wiki/File:142_American_Sparrow_Hawk.jpg
35,Eastern Screech-Owl,exact common name,Megascops asio,Megascops asio,Eastern Screech-Owl,megascops-asio,,source downloaded - NOT a finished asset,97,Little Screech Owl,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/little-screech-owl,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0097,unverified - check exact scan,not reviewed,sources/097.jpg,https://media.audubon.org/boa_illustration/plate-97-little-screech-owl.jpg,80fc939d40a3ec6b9c6744f427df103e875d4a1e3aef452f301741a1805aad3d,present,https://commons.wikimedia.org/wiki/File:97_Little_Screech_Owl.jpg
36,Great Horned Owl,exact common name,Bubo virginianus,Bubo virginianus,Great Horned Owl,bubo-virginianus,,source downloaded - NOT a finished asset,61,Great Horned Owl,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/great-horned-owl,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0061,unverified - check exact scan,not reviewed,sources/061.jpg,https://media.audubon.org/boa_illustration/plate-61-great-horned-owl.jpg,a325e4b540b82286ee8b3fc9615a5e70cee604efcf72b263e87bd80f004d8673,present,https://commons.wikimedia.org/wiki/File:61_Great_Horned_Owl.jpg
37,Barred Owl,exact common name,Strix varia,Strix varia,Barred Owl,strix-varia,,existing upstream,46,Barred Owl,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/barred-owl,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0046,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIBarred_Owl.jpg
38,Chimney Swift,exact common name,Chaetura pelagica,Chaetura pelagica,Chimney Swift,chaetura-pelagica,,source downloaded - NOT a finished asset,158,American Swift,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/american-swift,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0158,unverified - check exact scan,not reviewed,sources/158.jpg,https://media.audubon.org/boa_illustration/plate-158-american-swift.jpg,adce2d84d739b1b24b31f7e2433ed3f79a7f59d3e870545e0b751d1da4278110,present,https://commons.wikimedia.org/wiki/File:158_American_Swift.jpg
39,Purple Martin,exact common name,Progne subis,Progne subis,Purple Martin,progne-subis,,source downloaded - NOT a finished asset,22,Purple Martin,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/purple-martin,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0022,unverified - check exact scan,not reviewed,sources/022.jpg,https://media.audubon.org/boa_illustration/plate-22-purple-martin.jpg,57c7d2624283f64cd1ab4f4608770a33e397ad3f956b915b39e7a0d383c771a1,present,https://commons.wikimedia.org/wiki/File:22_Purple_Martin.jpg
40,Barn Swallow,exact common name,Hirundo rustica,Hirundo rustica,Barn Swallow,hirundo-rustica,,existing upstream,173,Barn Swallow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/barn-swallow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0173,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIChimney_Swallow.jpg
41,Cliff Swallow,exact common name,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Cliff Swallow,petrochelidon-pyrrhonota,,needs source,,,,,,,,,,,missing,
42,Cave Swallow,exact common name,Petrochelidon fulva,Petrochelidon fulva,Cave Swallow,petrochelidon-fulva,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Petrochelidon_fulva_1894.jpg
43,Tree Swallow,exact common name,Tachycineta bicolor,Tachycineta bicolor,Tree Swallow,tachycineta-bicolor,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:98_White-bellied_Swallow.jpg
44,Northern Rough-winged Swallow,exact common name,Stelgidopteryx serripennis,Stelgidopteryx serripennis,Northern Rough-winged Swallow,stelgidopteryx-serripennis,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Stelgidopteryx_serripennis_1894.jpg
45,Ruby-throated Hummingbird,exact common name,Archilochus colubris,Archilochus colubris,Ruby-throated Hummingbird,archilochus-colubris,,source downloaded - NOT a finished asset,47,Ruby-throated Humming Bird,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/ruby-throated-humming-bird,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0047,unverified - check exact scan,not reviewed,sources/047.jpg,https://media.audubon.org/boa_illustration/plate-47-ruby-throated-humming-bird.jpg,4f3308658c70acd4a7c61d182da88a7eb8c1693a2b7aeacbae6510eba5e0a7c2,present,https://commons.wikimedia.org/wiki/File:47_Ruby-throated_Humming_Bird.jpg
46,Black-chinned Hummingbird,exact common name,Archilochus alexandri,Archilochus alexandri,Black-chinned Hummingbird,archilochus-alexandri,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:MonographTrochi3Goul_0072.jpg
47,Buff-bellied Hummingbird,exact common name,Amazilia yucatanensis,Amazilia yucatanensis,Buff-bellied Hummingbird,amazilia-yucatanensis,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:A_monograph_of_the_Trochilid%C3%A6,_or_family_of_humming-birds_(Plate_308)_(8551717980).jpg"
48,Rufous Hummingbird,exact common name,Selasphorus rufus,Selasphorus rufus,Rufous Hummingbird,selasphorus-rufus,,needs source,,,,,,,,,,,missing,
49,Yellow-billed Cuckoo,exact common name,Coccyzus americanus,Coccyzus americanus,Yellow-billed Cuckoo,coccyzus-americanus,,existing upstream,2,Yellow-billed Cuckoo,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/yellow-billed-cuckoo,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0002,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:Coccyzus_Americanus_by_John_Gould.jpg
50,Greater Roadrunner,exact common name,Geococcyx californianus,Geococcyx californianus,Greater Roadrunner,geococcyx-californianus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Birds_of_the_world_for_young_people_(Pl._42)_(7971241140).jpg
51,Common Nighthawk,exact common name,Chordeiles minor,Chordeiles minor,Common Nighthawk,chordeiles-minor,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:147_Night_Hawk.jpg
52,Chuck-will's-widow,exact common name,Antrostomus carolinensis,Antrostomus carolinensis,Chuck-will's-widow,antrostomus-carolinensis,,source downloaded - NOT a finished asset,52,Chuck-will's Widow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/chuck-wills-widow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0052,unverified - check exact scan,not reviewed,sources/052.jpg,https://media.audubon.org/boa_illustration/plate-52-chuck-wills-widow.jpg,6863799a40b0fb08a5f24a7ecfc1ec196f95843c73384cbe9c791c42f6ed3d8e,present,https://commons.wikimedia.org/wiki/File:52_Chuck-will%27s_Widow.jpg
53,Eastern Whip-poor-will,exact common name,Antrostomus vociferus,Antrostomus vociferus,Eastern Whip-poor-will,antrostomus-vociferus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:82_Whip-poor-will.jpg
54,Red-bellied Woodpecker,exact common name,Melanerpes carolinus,Melanerpes carolinus,Red-bellied Woodpecker,melanerpes-carolinus,,existing upstream,,,,,,,,,,,present,https://media.audubon.org/boa_illustration/plate-416-hairy-woodpecker.jpg
55,Golden-fronted Woodpecker,exact common name,Melanerpes aurifrons,Melanerpes aurifrons,Golden-fronted Woodpecker,melanerpes-aurifrons,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Color_key_to_North_American_birds_(Page_153)_BHL7583682.jpg
56,Downy Woodpecker,exact common name,Dryobates pubescens,Dryobates pubescens,Downy Woodpecker,dryobates-pubescens,,source downloaded - NOT a finished asset,112,Downy Woodpecker,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/downy-woodpecker,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0112,unverified - check exact scan,not reviewed,sources/112.jpg,https://media.audubon.org/boa_illustration/plate-112-downy-woodpecker.jpg,eb5ccf379168abf140b93fcd7659275081c29a0c83214e893bfa4336271cde9a,present,https://commons.wikimedia.org/wiki/File:112_Downy_Woodpecker.jpg
57,Ladder-backed Woodpecker,exact common name,Dryobates scalaris,Dryobates scalaris,Ladder-backed Woodpecker,dryobates-scalaris,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Picoides_scalaris_nuttalliiAQBIP03CA.jpg
58,Pileated Woodpecker,exact common name,Dryocopus pileatus,Dryocopus pileatus,Pileated Woodpecker,dryocopus-pileatus,,source downloaded - NOT a finished asset,111,Pileated Woodpecker,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/pileated-woodpecker,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0111,unverified - check exact scan,not reviewed,sources/111.jpg,https://media.audubon.org/boa_illustration/plate-111-pileated-woodpecker.jpg,3c2dcb8fe73291b311c5e1839a3b777f9598bab4cb6b9054ef52a88aa93aef35,present,https://commons.wikimedia.org/wiki/File:111_Pileated_Woodpecker.jpg
59,Northern Flicker,exact common name,Colaptes auratus,Colaptes auratus,Northern Flicker,colaptes-auratus,,source downloaded - NOT a finished asset,37,Golden-winged Woodpecker,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/golden-winged-woodpecker,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0037,unverified - check exact scan,not reviewed,sources/037.jpg,https://media.audubon.org/boa_illustration/plate-37-golden-winged-woodpecker.jpg,d6444ea9bf39e1400dd0ce4062c2a8a7bdc33692aa0c43b795851f484890c4a2,missing,
60,Yellow-bellied Sapsucker,exact common name,Sphyrapicus varius,Sphyrapicus varius,Yellow-bellied Sapsucker,sphyrapicus-varius,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:190_Yellow_bellied_Woodpecker.jpg
61,Eastern Phoebe,exact common name,Sayornis phoebe,Sayornis phoebe,Eastern Phoebe,sayornis-phoebe,,source downloaded - NOT a finished asset,120,Pewit Flycatcher,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/pewit-flycatcher,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0120,unverified - check exact scan,not reviewed,sources/120.jpg,https://media.audubon.org/boa_illustration/plate-120-pewit-flycatcher.jpg,694764e207d4cd6030f3aed72ab26316bd27be8e21ec1e75a4e4e74dd361e0e6,missing,
62,Eastern Wood-Pewee,exact common name,Contopus virens,Contopus virens,Eastern Wood-Pewee,contopus-virens,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:115_Wood_Pewee.jpg
63,Great Crested Flycatcher,exact common name,Myiarchus crinitus,Myiarchus crinitus,Great Crested Flycatcher,myiarchus-crinitus,,source downloaded - NOT a finished asset,129,Great Crested Flycatcher,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/great-crested-flycatcher,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0129,unverified - check exact scan,not reviewed,sources/129.jpg,https://media.audubon.org/boa_illustration/plate-129-great-crested-flycatcher.jpg,23a10ee008df56da6a95a4f29d1d6a3ebb4fb084f5c172c2ea2d228ce53a9de2,present,https://commons.wikimedia.org/wiki/File:129_Great_Crested_Flycatcher.jpg
64,Scissor-tailed Flycatcher,exact common name,Tyrannus forficatus,Tyrannus forficatus,Scissor-tailed Flycatcher,tyrannus-forficatus,,needs source,,,,,,,,,,,missing,
65,Western Kingbird,exact common name,Tyrannus verticalis,Tyrannus verticalis,Western Kingbird,tyrannus-verticalis,,needs source,,,,,,,,,,,missing,
